file	line	kind	name	uses	vetting	body_head	red_flags
Jacobians/Axioms/AbelJacobiMap.lean	289	nc-def	pullbackAmbientLinear	16	used	let eX : (HolomorphicOneForm X →ₗ[ℂ] ℂ) ≃ₗ[ℂ] (Fin (genus X)	
Jacobians/Axioms/AbelJacobiMap.lean	347	nc-def	jacobianHomOfAmbient	10	used		
Jacobians/Axioms/AbelJacobiMap.lean	542	nc-def	pushforwardImpl	14	used	jacobianHomOfAmbient X Y (pushforwardAmbientLinear f hf)    	
Jacobians/Axioms/AbelJacobiMap.lean	552	nc-def	pullbackImpl	13	used	jacobianHomOfAmbient Y X (pullbackAmbientLinear f hf)     (A	
Jacobians/Axioms/AbelJacobiMap.lean	566	nc-def	degreeImpl	4	used	by   classical   exact if hc : ∃ c : Y, ∀ x : X, f x = c the	
Jacobians/Axioms/AnalyticCycleBasis.lean	198	nc-def	αEmbed	8	used	⟨i.val, by have := i.isLt; omega⟩  /-- The `β`-cycle embeddi	
Jacobians/Axioms/AnalyticCycleBasis.lean	205	nc-def	βEmbed	8	used	⟨genus X + i.val, by have := i.isLt; omega⟩  /-- The data of	
Jacobians/Axioms/AnalyticCycleBasis.lean	220	structure	AnalyticCycleBasis	25	witness		
Jacobians/Axioms/BranchLocus.lean	72	nc-def	localOrder	20	used	if f p = q then Jacobians.Vendor.Wallace.HolomorphicForms.ma	
Jacobians/Axioms/FiniteDimOneForms.lean	43	instance	instFiniteDimOneForms	2	instance	Jacobians.Bridge.finiteDimensional_holomorphicOneForm  end J	
Jacobians/Axioms/PeriodLattice.lean	53	nc-def	periodMapInBasis	6	used	(b.dualBasis.equivFun.toLinearMap.restrictScalars ℤ).comp (p	
Jacobians/Axioms/PeriodLattice.lean	63	nc-def	periodLatticeInBasis	46	used	LinearMap.range (periodMapInBasis X x₀ b)  /-- **Axiom (NOT 	
Jacobians/Bridge/BridgePath.lean	31	def	flatReparam	36	used	3 * s ^ 2 - 2 * s ^ 3  @[simp] theorem flatReparam_zero : fl	
Jacobians/Bridge/BridgePath.lean	120	def	flatReparamUnit	6	used	⟨flatReparam s, flatReparam_mem_Icc s.2⟩  @[simp] theorem fl	
Jacobians/Bridge/BridgePath.lean	147	def	flatSegment	38	used	(1 - flatReparam t) • a + flatReparam t • b  @[simp] theorem	
Jacobians/Bridge/BridgePath.lean	267	nc-def	chartTargetBallRadius	6	used	Classical.choose (exists_ball_subset_chart_target x)  /-- Th	
Jacobians/Bridge/BridgePath.lean	280	def	chartBallSource	3	used	(chartAt ℂ x).source ∩     (chartAt ℂ x) ⁻¹' Metric.ball ((c	
Jacobians/Bridge/BridgePath.lean	295	def	pathChartBallCover	4	used	γ ⁻¹' chartBallSource x  /-- The chart-ball pullback cover c	
Jacobians/Bridge/BridgePath.lean	315	structure	PathChartBallSubdivision	34	used		
Jacobians/Bridge/BridgePath.lean	352	nc-def	lastIndex	18	used	by   classical exact Nat.find S.eventually_one  /-- All brea	
Jacobians/Bridge/BridgePath.lean	366	def	breakpoints	5	used	fun i => S.t i  @[simp] theorem breakpoints_zero (S : PathCh	
Jacobians/Bridge/BridgePath.lean	457	nc-def	chartFlatPath	104	used	(chartAt ℂ (S.chart n)).symm     (flatSegment ((chartAt ℂ (S	
Jacobians/Bridge/BridgePath.lean	502	nc-def	concatChartFlatPathAux	76	used	by   induction k with   | zero =>       exact S.chartFlatPat	
Jacobians/Bridge/BridgePath.lean	511	nc-def	concatChartFlatPath	17	used	(S.concatChartFlatPathAux S.lastIndex).cast     (by       si	
Jacobians/Bridge/BridgePath.lean	533	nc-def	bridgePathImpl	12	used	let γ : Path P₀ P := (exists_path P₀ P).some   let S : PathC	
Jacobians/Bridge/BridgePath.lean	677	def	flatPieceRegular	6	used	s < 0 ∨ s ∈ Set.Ioo (0 : ℝ) 1 ∨ 1 < s  omit [ConnectedSpace 	
Jacobians/Bridge/BridgePath.lean	682	def	concatChartFlatPathAuxRegular	5	used		
Jacobians/Bridge/BridgePath.lean	837	nc-def	bridgePathImplRegular	1	used	let γ : Path P₀ P := (exists_path P₀ P).some   let S : PathC	near-orphan
Jacobians/Bridge/KirovHolomorphic.lean	26	nc-def	bridgeForm	50	used	X)) ```  Mathematically `bridgeForm` is the canonical "cocyc	
Jacobians/Bridge/KirovHolomorphic.lean	85	nc-def	chartChoice	2	used	Classical.choose (exists_chartChoice (X := X) y)  theorem ch	
Jacobians/Bridge/KirovHolomorphic.lean	97	nc-def	rawCLM	40	used	(form.coeff x ((extChartAt 𝓘(ℂ, ℂ) x) y)) •     (mfderiv 𝓘(ℂ	
Jacobians/Bridge/KirovHolomorphic.lean	324	nc-def	bridgeForm	50	used	{ toFun := fun y => BridgeForm.rawCLM form y y       contMDi	
Jacobians/Bridge/KirovHolomorphic.lean	627	instance	finiteDimensional_holomorphicOneForm	3	instance	Module.Finite.of_injective (bridgeForm (X := X)) bridgeForm_	
Jacobians/Bridge/KirovHolomorphicEquiv.lean	26	nc-def	sectionCoeff	15	used	by   classical   exact fun x z =>     if z ∈ (extChartAt 𝓘(ℂ	
Jacobians/Bridge/KirovHolomorphicEquiv.lean	202	nc-def	inverseForm	4	used	⟨sectionCoeff α,       sectionCoeff_holomorphic α,       sec	
Jacobians/Bridge/KirovHolomorphicEquiv.lean	277	nc-def	bridgeFormEquiv	3	used	LinearEquiv.ofLinear (bridgeForm : HolomorphicOneForm X →ₗ[ℂ	
Jacobians/Bridge/KirovLineIntegral.lean	49	nc-def	kirovBackedFunctional	9	used	{ toFun := fun form =>          Jacobians.Vendor.Kirov.lineI	
Jacobians/Bridge/KirovLineIntegral.lean	166	nc-def	bridgePath	39	used	bridgePathImpl P₀ P  /-- The chosen path is continuous. -/ t	
Jacobians/Bridge/KirovLineIntegral.lean	570	nc-def	chartLine	11	used	fun t => (extChartAt 𝓘(ℂ, ℂ) P).symm ((1 - t) • (extChartAt 	
Jacobians/Bridge/KirovLineIntegral.lean	639	nc-def	kirovBackedFunctional	9	used	Jacobians.Vendor.Kirov.lineIntegral       (Jacobians.Bridge.	
Jacobians/Bridge/KirovLineIntegral.lean	712	nc-def	pathIntegralBasepointFunctional	23	used	Jacobians.Bridge.kirovBackedFunctional P₀ P  -- Replace `axi	
Jacobians/Challenge.lean	58	nc-def	genus	415	used	Jacobians.RiemannSurface.genus X  -- let X be a compact Riem	
Jacobians/Challenge.lean	78	nc-def	Jacobian	202	used	Jacobians.Jacobian X  namespace Jacobian  -- data /-- The Ja	
Jacobians/Challenge.lean	127	nc-def	ofCurve	19	used	Jacobians.Axioms.ofCurveImpl X P  lemma ofCurve_contMDiff (P	
Jacobians/Challenge.lean	147	nc-def	pushforward	48	used	Jacobians.Axioms.pushforwardImpl X Y f hf  -- pushforward is	
Jacobians/Challenge.lean	174	nc-def	pullback	94	used	Jacobians.Axioms.pullbackImpl X Y f hf  -- pullback is holom	
Jacobians/Challenge.lean	196	nc-def	_root_.ContMDiff.degree	170	used	Jacobians.Axioms.degreeImpl f hf  lemma pushforward_pullback	
Jacobians/Extensions/AbelJacobi.lean	207	def	fiberPoint	5	used	⟨(x₀, y₀), hxy⟩  /-- **Abel's theorem on the affine fiber di	
Jacobians/Extensions/Hyperelliptic.lean	63	def	involution	33	used	by   refine ⟨(p.val.1, -p.val.2), ?_⟩   calc     (-p.val.2) 	
Jacobians/Extensions/Hyperelliptic.lean	102	nc-def	hyperellipticDxOverY	2	used	by   -- Construct the cocycle (`coeff`, three predicates) ex	wrapper
Jacobians/Extensions/Hyperelliptic.lean	122	nc-def	hyperellipticBasisDifferential	2	sorry	by   -- Multiply the local coefficient of `hyperellipticDxOv	sorry-body,wrapper
Jacobians/Extensions/Hyperelliptic.lean	199	nc-def	hyperellipticInvolution	10	used	-- On the affine chart: send `⟨(x, y), hxy⟩` to `⟨(x, -y), n	
Jacobians/Extensions/HyperellipticEven.lean	81	nc-def	hyperellipticEvenDxOverY	2	used	HyperellipticEvenProj.hyperellipticForm H 1  /-! ## Warm-up 	
Jacobians/Extensions/HyperellipticEven.lean	98	nc-def	hyperellipticEvenBasisDifferential	3	used	HyperellipticEvenProj.hyperellipticForm H (Polynomial.X ^ k)	
Jacobians/Jacobian/Construction.lean	103	structure	`chartedSpaceULift`.	274699	used		
Jacobians/Jacobian/Construction.lean	123	nc-def	jacobianBasis	55	used	Module.finBasis ℂ (HolomorphicOneForm X)  /-- The concrete (	
Jacobians/Jacobian/Construction.lean	154	instance	instConnectedSpaceULift	0	instance	(Homeomorph.ulift (X := α)).connectedSpace_iff.mpr ‹_›  name	
Jacobians/ProjectiveCurve/Elliptic/OneForm.lean	15	nc-def	ellipticDz	21	used	⟨fun x z => Set.indicator (extChartAt 𝓘(ℂ, ℂ) x).target (fun	
Jacobians/ProjectiveCurve/Elliptic/OneForm.lean	86	nc-def	ellipticCoeffFun	7	used	fun x => form.coeff x ((extChartAt 𝓘(ℂ, ℂ) x) x)  /-- The co	
Jacobians/ProjectiveCurve/Elliptic/Witnesses.lean	60	nc-def	aLoopExtend	8	witness	fun r => (QuotientAddGroup.mk' (ellipticLattice ω₁ ω₂ h).toA	
Jacobians/ProjectiveCurve/Elliptic/Witnesses.lean	64	nc-def	bLoopExtend	8	witness	fun r => (QuotientAddGroup.mk' (ellipticLattice ω₁ ω₂ h).toA	
Jacobians/ProjectiveCurve/Elliptic/Witnesses.lean	94	nc-def	aArc	1	witness	aLoopExtend ω₁ ω₂ h   continuous' := continuous_aLoopExtend 	near-orphan
Jacobians/ProjectiveCurve/Elliptic/Witnesses.lean	108	nc-def	bArc	1	witness	bLoopExtend ω₁ ω₂ h   continuous' := continuous_bLoopExtend 	near-orphan
Jacobians/ProjectiveCurve/Elliptic/Witnesses.lean	123	nc-def	aLoop	0	witness	aArc ω₁ ω₂ h   start_eq := by     change aLoopExtend ω₁ ω₂ h	orphan
Jacobians/ProjectiveCurve/Elliptic/Witnesses.lean	143	nc-def	bLoop	0	witness	bArc ω₁ ω₂ h   start_eq := by     change bLoopExtend ω₁ ω₂ h	orphan
Jacobians/ProjectiveCurve/Elliptic/Witnesses.lean	173	nc-def	ellipticCycleBasis	1	witness	AX_Elliptic_H1_symplectic ω₁ ω₂ h  end Jacobians.ProjectiveC	near-orphan
Jacobians/ProjectiveCurve/Elliptic.lean	91	nc-def	Elliptic	96	used	ComplexTorus ℂ (ellipticLattice ω₁ ω₂ h)  namespace Elliptic	
Jacobians/ProjectiveCurve/Hyperelliptic/AffineForm.lean	38	nc-def	affineProjXCoeff	43	used	by   classical   exact     if z ∈ ((affineChartProjX (H := H	
Jacobians/ProjectiveCurve/Hyperelliptic/AffineForm.lean	274	nc-def	affineProjYCoeff	35	used	by   classical   exact     if z ∈ ((affineChartProjY (H := H	
Jacobians/ProjectiveCurve/Hyperelliptic/AffineForm.lean	640	nc-def	hyperellipticAffineCoeff	97	used	fun a z => by   classical   exact     if hpY : a ∈ smoothLoc	
Jacobians/ProjectiveCurve/Hyperelliptic/AffineInfinityForm.lean	37	nc-def	hyperellipticAffineInfinityCoeff	39	used	Jacobians.ProjectiveCurve.HyperellipticAffine.hyperellipticA	
Jacobians/ProjectiveCurve/Hyperelliptic/AntiInvariance.lean	31	abbrev	evenMk	4	used	Quotient.mk (hyperellipticEvenSetoid H) (Sum.inl a)  /-- The	
Jacobians/ProjectiveCurve/Hyperelliptic/AntiInvariance.lean	39	nc-def	omegaDx	3	used	fun x =>     form.coeff (evenMk a)         (extChartAt 𝓘(ℂ, 	
Jacobians/ProjectiveCurve/Hyperelliptic/Basic.lean	26	structure	HyperellipticData	194	used		
Jacobians/ProjectiveCurve/Hyperelliptic/Basic.lean	37	def	genus	415	used	(H.f.natDegree - 1) / 2  /-- **Faithfulness witness** for `g	
